N,estimated_mask_norm_diff_mean,estimated_mask_norm_diff_high,estimated_mask_norm_diff_low,estimated_mask_conf_norm_diff_mean,estimated_mask_conf_norm_diff_high,estimated_mask_conf_norm_diff_low,ml_norm_diff_mean,ml_norm_diff_high,ml_norm_diff_low,ridge_0.001_norm_diff_mean,ridge_0.001_norm_diff_high,ridge_0.001_norm_diff_low,lasso_0.001_norm_diff_mean,lasso_0.001_norm_diff_high,lasso_0.001_norm_diff_low,estimated_mask_fe_mean,estimated_mask_fe_high,estimated_mask_fe_low,estimated_mask_conf_fe_mean,estimated_mask_conf_fe_high,estimated_mask_conf_fe_low,ml_fe_mean,ml_fe_high,ml_fe_low,ridge_0.001_fe_mean,ridge_0.001_fe_high,ridge_0.001_fe_low,lasso_0.001_fe_mean,lasso_0.001_fe_high,lasso_0.001_fe_low,estimated_mask_kl_mean,estimated_mask_kl_high,estimated_mask_kl_low,estimated_mask_conf_kl_mean,estimated_mask_conf_kl_high,estimated_mask_conf_kl_low,ml_kl_mean,ml_kl_high,ml_kl_low,ridge_0.001_kl_mean,ridge_0.001_kl_high,ridge_0.001_kl_low,lasso_0.001_kl_mean,lasso_0.001_kl_high,lasso_0.001_kl_low
1.000000000000000000e+01,1.291842647102183861e+01,1.386113565927628244e+01,1.197571728276739478e+01,1.132289818800421521e+01,1.239509518382722142e+01,1.025070119218120901e+01,1.356052914215677951e+01,1.448031144176052010e+01,1.264074684255303893e+01,1.181983093153691478e+01,1.266301836637550693e+01,1.097664349669832262e+01,1.262254979587118875e+01,1.343835739361922599e+01,1.180674219812315151e+01,1.638100407061391195e+01,2.284601948017692763e+01,9.915988661050898045e+00,1.226253880339023183e+01,1.501495282928870090e+01,9.510124777491762771e+00,3.032310925522718748e+00,3.675985822781999701e+00,2.388636028263437794e+00,2.840068063097095141e+00,3.444133561554236334e+00,2.236002564639953949e+00,2.870080528285507526e+00,3.536418063594907402e+00,2.203742992976107651e+00,2.262420497598423849e-04,3.138006904626575730e-04,1.386834090570271969e-04,8.600284491653302683e-05,1.077176339713981502e-04,6.428805586166790346e-05,1.995254042826875255e-04,2.609096624687800062e-04,1.381411460965950447e-04,1.565750773941265055e-04,2.017276046905235260e-04,1.114225500977294715e-04,1.735287311472956710e-04,2.243958834018507033e-04,1.226615788927406386e-04
3.000000000000000000e+01,1.228017986597428290e+01,1.328128281211974304e+01,1.127907691982882277e+01,1.022706905806164102e+01,1.134720756468427716e+01,9.106930551439004873e+00,1.358215299891476846e+01,1.438706457637071345e+01,1.277724142145882347e+01,1.087181650767533192e+01,1.151337828622072657e+01,1.023025472912993727e+01,1.168603334158520113e+01,1.239453673333068906e+01,1.097752994983971320e+01,8.866510193986687938e+00,1.214207404243570032e+01,5.590946345537675555e+00,6.627386107277970062e+00,7.904788505775456109e+00,5.349983708780484015e+00,2.339560130102606106e+00,2.828973100840133093e+00,1.850147159365078897e+00,2.297251496599955534e+00,2.833084002636618859e+00,1.761418990563292208e+00,2.050759507801301229e+00,2.471289719260523654e+00,1.630229296342079026e+00,1.777311652719622498e-04,2.184787465192347255e-04,1.369835840246897741e-04,6.718503001287447055e-05,8.981904115339498396e-05,4.455101887235395715e-05,1.860736736029869798e-04,2.338245219872704542e-04,1.383228252187035053e-04,1.291897894642395723e-04,1.692149872266591689e-04,8.916459170181997569e-05,1.544741729133387430e-04,1.964404932820563792e-04,1.125078525446211069e-04
1.000000000000000000e+02,9.807885752148312264e+00,1.060058219132679191e+01,9.015189312969832613e+00,8.231795066965865715e+00,9.024553011365256339e+00,7.439037122566475091e+00,1.138140605103812319e+01,1.236370383442192455e+01,1.039910826765432184e+01,7.895723156808361232e+00,8.680732455696618999e+00,7.110713857920103464e+00,8.613045470139104154e+00,9.411134188890548202e+00,7.814956751387660105e+00,4.339272594489163914e+00,6.968372956534224727e+00,1.710172232444103102e+00,2.823258377994356305e+00,3.710612215536402303e+00,1.935904540452310307e+00,1.011878820627979403e+00,1.175155404659862679e+00,8.486022365960962377e-01,1.051593389524431155e+00,1.226468546168738127e+00,8.767182328801240709e-01,8.506512299593960158e-01,1.021637258554680017e+00,6.796652013641119039e-01,1.277145002031921436e-04,1.909876317877544295e-04,6.444136861862985758e-05,4.196212554110907955e-05,5.427526239047619978e-05,2.964898869174195932e-05,1.017553201234336926e-04,1.474624635123147171e-04,5.604817673455266138e-05,6.976964136643981824e-05,1.033020312428389583e-04,3.623725149004068501e-05,7.392346854656591589e-05,1.042048083528476787e-04,4.364212874028415985e-05
3.000000000000000000e+02,7.211863505981330746e+00,7.889485887734587699e+00,6.534241124228073794e+00,6.215400343304830599e+00,6.840160150257711180e+00,5.590640536351950018e+00,9.563308168388736874e+00,1.030536142321653337e+01,8.821254913560940381e+00,6.447694543762659158e+00,6.918159615830982823e+00,5.977229471694335494e+00,6.581117374224497496e+00,7.202131871831040755e+00,5.960102876617954237e+00,9.688814635265323716e-01,1.235335626377033869e+00,7.024273006760308746e-01,1.856769221399096725e+00,2.130566910569064554e+00,1.582971532229128675e+00,9.112590788169011580e-01,1.067137118862438117e+00,7.553810387713641994e-01,8.224503607286244300e-01,9.849603149797617752e-01,6.599404064774870848e-01,8.988331497487354049e-01,1.097611082439907015e+00,7.000552170575637945e-01,7.767367424560733043e-05,1.143890654295300448e-04,4.095828306168461603e-05,1.537211411316719966e-05,2.167292245135384957e-05,9.071305774980549752e-06,6.656628910775905369e-05,9.115192285229459126e-05,4.198065536322351612e-05,4.978021956094354439e-05,7.424543878996018198e-05,2.531500033192690680e-05,4.575357329411849065e-05,6.241262812014327114e-05,2.909451846809370677e-05
1.000000000000000000e+03,5.373219697091831115e+00,5.862491726671370529e+00,4.883947667512291702e+00,5.789782038769878625e+00,6.431972262259650464e+00,5.147591815280106786e+00,7.143150726135742978e+00,7.624267952067766529e+00,6.662033500203719427e+00,5.880438953025690196e+00,6.396982099128521781e+00,5.363895806922858611e+00,5.857617195480945504e+00,6.309948392309910226e+00,5.405285998651980783e+00,6.846201980608664917e-01,8.419472408675776620e-01,5.272931552541553213e-01,1.576098692842094806e+00,1.840184789781487584e+00,1.312012595902702028e+00,7.626587214287030569e-01,9.005004986849732829e-01,6.248169441724328310e-01,7.046194852182390278e-01,8.252316622869213525e-01,5.840073081495567031e-01,6.873356541482842363e-01,8.295722272940729836e-01,5.450990810024954891e-01,3.684927773031269156e-05,4.529886667006711857e-05,2.839968879055826794e-05,1.379823649616658906e-05,1.747663282399850514e-05,1.011984016833467298e-05,3.908907112146141317e-05,4.743689544463122905e-05,3.074124679829159728e-05,3.387378321222591520e-05,4.521148946575934396e-05,2.253607695869248645e-05,4.002014284182560025e-05,5.272627794632321396e-05,2.731400773732798655e-05
3.000000000000000000e+03,4.784729924173170446e+00,5.577382524289212995e+00,3.992077324057128340e+00,5.189340348609160714e+00,5.857835845853819556e+00,4.520844851364501871e+00,6.042406402580972724e+00,6.781767969049848688e+00,5.303044836112096760e+00,5.448535228025106925e+00,6.086304275799967023e+00,4.810766180250246826e+00,5.341161388068108806e+00,6.013384210996848722e+00,4.668938565139368890e+00,7.427588611664269758e-01,8.987498130183975142e-01,5.867679093144564373e-01,1.656926755220322622e+00,1.910522342149481245e+00,1.403331168291163999e+00,7.092707783186835702e-01,8.365522572846368909e-01,5.819892993527302494e-01,7.828294065940986091e-01,9.493185294895801762e-01,6.163402836986170419e-01,8.038311878493441531e-01,9.352758008177033400e-01,6.723865748809849663e-01,3.274687162786639477e-05,4.909567023653069401e-05,1.639807301920209552e-05,1.146232985629635335e-05,1.466610977039059203e-05,8.258549942202114667e-06,3.627809794448658755e-05,5.208800784475204254e-05,2.046818804422113257e-05,3.236139671575547877e-05,4.861818134504598902e-05,1.610461208646496851e-05,2.951656376571980031e-05,4.190980462884007294e-05,1.712332290259953107e-05
